Customer ID,segment,clv,clv_tier,churn_probability,churn_risk,action,channel,offer,priority,recommended_contact_days
15398,General Customers,2548.904275778772,High,0.5608684448611545,High,Priority retention intervention,Email + SMS + Personal outreach,High-value personalised retention offer,5,19
12689,General Customers,1976.5966821729266,High,0.6201253026410896,High,Priority retention intervention,Email + SMS + Personal outreach,High-value personalised retention offer,5,30
14418,General Customers,4361.16312497984,High,0.31593476205384957,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,21
13644,General Customers,4040.009437770767,High,0.2816039588563262,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,13
12518,General Customers,3717.406321380803,High,0.2978420623800354,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,13
13994,General Customers,3420.5144422920903,High,0.3366429732058373,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,14
15977,General Customers,3394.722881913176,High,0.3016535927671112,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,6
14387,General Customers,3064.5053455086004,High,0.2565119613870219,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,15
12646,Noise / Uncategorised,2783.293767684486,High,0.5777489815743342,High,Priority retention intervention,Email + SMS + Personal outreach,High-value personalised retention offer,4,13
13437,General Customers,2780.3852272638796,High,0.311892388426449,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,15
18180,General Customers,2736.899589317619,High,0.26917453071415487,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,14
13808,General Customers,2735.01143288285,High,0.2626967963162574,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,11
12630,General Customers,2702.903960618956,High,0.48520230289948935,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,10
17481,General Customers,2467.317086531534,High,0.31348455413166687,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,14
13726,General Customers,2406.7107469236607,High,0.3764880253487899,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,18
16066,General Customers,2384.230690100537,High,0.3399797241834302,Medium,Engagement / category promotion,Email,Seasonal category promotion,4,13
